"","gene","probe","T1","T2","T3","C1","C2","C3"
"1072",98,5,27.78,34.12,13.87,35.59,35.94,32.93
"1073",98,6,5.33,9.05,6.34,5.09,26.46,6.06
"1074",98,7,79.48,43.05,44.07,53.08,45.92,41.91
"1075",98,8,93.18,89.85,35.36,67.38,91.72,51.41
"1076",98,9,121.68,93.05,78.83,85.08,109.42,77.71
"1077",98,10,200.18,178.05,153.02,187.08,186.42,158.91
"1078",98,11,100.18,122.05,59.12,123.08,78.42,48.91
"1079",99,1,188.18,173.05,87.02,170.08,151.92,113.91
"1080",99,2,215.18,244.05,165.52,209.08,206.42,122.91
"1081",99,3,73.18,128.05,39.33,83.08,106.42,71.91
"1082",99,4,13.71,33.14,17.21,9.68,158.42,35.92
"1083",99,5,449.68,441.05,262.02,421.58,346.72,228.91
"1084",99,6,650.68,880.05,512.32,521.08,486.22,552.91
"1085",99,7,881.98,997.55,750.32,723.58,696.42,734.21
"1086",99,8,6.03,6.73,7.31,5.95,8.47,4.91
"1087",99,9,6.68,4.83,7.62,5.25,4.73,5.49
"1088",99,10,7.77,6.14,7.51,4.91,4.49,5.49
"1089",99,11,4.61,7.52,7.31,5.49,5.57,28.98
"1090",100,1,73.18,69.35,43.8,74.08,65.42,53.41
"1091",100,2,114.48,105.05,103.02,68.38,105.42,93.41
"1092",100,3,180.18,153.05,120.02,151.08,137.42,117.91
"1093",100,4,13.71,22.03,12.21,10.15,12.54,17.37
"1094",100,5,308.48,353.05,206.82,287.08,306.42,206.91
"1095",100,6,134.68,201.05,65.36,123.88,161.42,105.71
"1096",100,7,3234.48,3410.35,2456.32,2760.38,2990.42,2425.21
"1097",100,8,157.48,248.05,132.52,139.58,197.92,149.91
"1098",100,9,33.2,40.06,17.83,25.55,26.65,27.02
"1099",100,10,7.77,10.5,8.33,8.6,8.47,10.86
"1100",100,11,33.2,35.1,11.15,25.26,34.45,23.5
