"","gene","probe","T1","T2","T3","C1","C2","C3"
"459",42,8,11.57,18.07,9.16,24.59,9.62,13.18
"460",42,9,209.18,238.35,135.02,180.58,167.22,151.41
"461",42,10,43.18,60.05,14.82,34.1,21.19,36.92
"462",42,11,5.8,8.39,13,7.44,4.88,3.58
"463",43,1,4.34,4.7,10.22,5.71,5.57,4.54
"464",43,2,7.44,17.35,9.24,8.81,8.47,10.75
"465",43,3,38.69,43.05,13.57,29.14,29.83,12.25
"466",43,4,441.18,648.05,476.02,446.08,478.42,430.41
"467",43,5,1123.18,1142.85,991.02,1119.08,962.42,842.71
"468",43,6,536.18,534.05,532.52,441.58,461.72,625.71
"469",43,7,230.18,218.85,155.02,227.08,183.42,175.71
"470",43,8,74.18,53.05,56.66,60.08,75.42,77.91
"471",43,9,330.18,309.55,214.02,211.08,222.42,209.91
"472",43,10,398.18,421.05,384.52,313.08,354.72,376.21
"473",43,11,75.98,113.35,64.07,62.08,95.72,66.21
"474",44,1,6.41,21.86,9,11.74,6.75,11.12
"475",44,2,352.18,423.05,246.82,257.08,326.72,228.91
"476",44,3,19.44,64.55,9.67,34.6,25.99,11.39
"477",44,4,20.3,12.98,10.22,8.41,12.54,8.49
"478",44,5,86.48,122.85,62.38,110.08,92.22,96.91
"479",44,6,1249.68,1295.05,1142.02,1090.08,1277.42,1152.41
"480",44,7,864.48,1131.05,784.32,751.08,936.22,778.91
"481",44,8,84.18,47.05,20.74,94.58,41.43,47.91
"482",44,9,26.32,18.07,22.88,26.22,23.86,25.1
"483",44,10,52.18,61.05,32.73,54.58,41.43,39.41
"484",44,11,4.64,12.98,7.39,11.19,10.63,8.77
"485",45,1,189.48,172.55,86.02,151.08,102.72,104.91
"486",45,2,15.31,36.09,14.92,18.73,13.91,9.19
"487",45,3,111.18,135.05,86.02,100.08,108.42,102.91
"488",45,4,13.06,15.98,9.67,6.45,12.54,6.18
"489",45,5,418.18,481.05,329.02,526.08,438.42,349.91
"490",45,6,248.18,515.85,74.03,349.08,289.42,89.21
"491",45,7,8.06,9.22,9.72,5.83,8.83,14.17
"492",45,8,372.48,415.05,237.02,299.08,264.22,252.91
"493",45,9,512.18,589.05,411.02,439.08,504.22,440.91
"494",45,10,89.18,83.85,36.77,87.88,97.42,69.91
"495",45,11,14.95,13.99,21.89,12.64,21.62,19.62
"496",46,1,46.18,51.05,34.31,40.09,29.54,39.71
"497",46,2,6.82,8.88,6.48,5.83,8.47,5.15
"498",46,3,34.2,35.1,10.03,12.82,21.19,15.09
"499",46,4,13.06,7.52,8.06,9.68,9.83,15.09
"500",46,5,55.48,74.35,28.54,83.08,52.92,55.91
"501",46,6,76.18,85.55,33.91,49.08,78.42,56.91
"502",46,7,27.29,41.06,50.84,28.16,23.4,14.87
"503",46,8,12.44,23.32,9.85,12.95,13.72,12.56
"504",46,9,11.86,10.58,9.81,9.23,9.41,11.12
"505",46,10,164.18,217.85,98.02,123.08,125.42,128.91
"506",46,11,1410.18,1321.85,1466.02,1287.08,1296.92,1536.91
"507",47,1,150.18,77.05,64.36,101.38,71.42,99.91
"508",47,2,147.48,108.05,85.02,104.08,97.42,103.91
"509",47,3,316.18,368.85,183.82,242.38,278.92,255.91
"510",47,4,86.48,87.35,23.16,73.38,86.42,27.51
"511",47,5,5.57,5.95,8.17,5.95,5.39,9.41
"512",47,6,8.63,8.71,8.33,8.41,8.13,13.84
"513",47,7,101.68,148.05,79.83,122.08,81.42,97.71
"514",47,8,41.68,71.35,47.98,34.6,37.44,29.96
"515",47,9,43.48,60.05,13.87,40.89,49.42,28.98
"516",47,10,17.37,34.61,12.41,21.53,28.09,16.35
